AMF	Graal	Mock	Manual Inspection	Note
Builder_497-500:setHeaderComments0	Failure	Success	Success	Graal False Negative - class casting error though translation is fully functionally equivalent
Builder_390-396:setEscape1	Error	Failure	Failure	
Builder_378-381:setEscape0	Not Covered	Failure	Failure	
Builder_365-369:setDuplicateHeaderMode	Success	Success	Success	
Builder_347-356:setDelimiter1	Error	Failure	Failure	
Builder_337-339:setDelimiter0	Not Covered	Failure	Failure	
Builder_322-329:setCommentMarker1	Error	Failure	Failure	
Builder_308-311:setCommentMarker0	Failure	Failure	Failure	
Builder_294-297:setAutoFlush	Success	Success	Success	
Builder_283-286:setAllowMissingColumnNames	Success	Success	Success	
Builder_250-254:build	Failure	Success	Success	Graal False Negative - `org.opentest4j.AssertionFailedError` raised though the translation is functionally equivalent
Builder_181-183:create1	Success	Success	Success	
Builder_171-173:create0	Success	Success	Success	
Builder_223-243:Builder	Not Covered	Failure	Failure	
CSVFormat_2915-2917:withTrim1	Success	Success	Success	
CSVFormat_2901-2903:withTrim0	Success	Success	Success	
CSVFormat_2888-2890:withTrailingDelimiter1	Success	Not Covered	Success	
CSVFormat_2874-2876:withTrailingDelimiter0	Success	Success	Success	
CSVFormat_2861-2863:withSystemRecordSeparator	Success	Success	Success	
CSVFormat_2843-2845:withSkipHeaderRecord1	Success	Success	Success	
CSVFormat_2829-2831:withSkipHeaderRecord0	Failure	Failure	Failure	
CSVFormat_2813-2815:withRecordSeparator1	Success	Success	Success	
CSVFormat_2796-2798:withRecordSeparator0	Success	Success	Success	
CSVFormat_2780-2782:withQuoteMode	Success	Success	Success	
CSVFormat_2767-2769:withQuote1	Success	Success	Success	
CSVFormat_2753-2755:withQuote0	Success	Success	Success	
CSVFormat_2739-2741:withNullString	Failure	Failure	Failure	
CSVFormat_2718-2720:withIgnoreSurroundingSpaces1	Success	Success	Success	
CSVFormat_2704-2706:withIgnoreSurroundingSpaces0	Success	Success	Success	
CSVFormat_2688-2690:withIgnoreHeaderCase1	Success	Not Covered	Success	
CSVFormat_2674-2676:withIgnoreHeaderCase0	Success	Success	Success	
CSVFormat_2660-2662:withIgnoreEmptyLines1	Success	Success	Success	
CSVFormat_2645-2647:withIgnoreEmptyLines0	Success	Success	Success	
CSVFormat_2629-2631:withHeaderComments	Success	Success	Success	
CSVFormat_2494-2496:withEscape1	Success	Success	Success	
CSVFormat_2479-2481:withEscape0	Success	Success	Success	
CSVFormat_2464-2466:withDelimiter	Success	Success	Success	
CSVFormat_2450-2452:withCommentMarker1	Failure	Failure	Failure	
CSVFormat_2433-2435:withCommentMarker0	Failure	Failure	Failure	
CSVFormat_2416-2418:withAutoFlush	Success	Not Covered	Success	
CSVFormat_2403-2405:withAllowMissingColumnNames1	Success	Not Covered	Success	
CSVFormat_2387-2389:withAllowMissingColumnNames0	Not Covered	Not Covered	Success	
CSVFormat_2367-2373:withAllowDuplicateHeaderNames1	Success	Not Covered	Success	
CSVFormat_2353-2355:withAllowDuplicateHeaderNames0	Not Covered	Not Covered	Success	
CSVFormat_2218-2264:toString	Failure	Failure	Failure	
CSVFormat_1899-1901:print4	Success	Failure	Failure	Graal False Positive - in `io.open()`, the LLM translation does not set `newline=''` option to disable newline translation, so printer may produce unexpected extra carriage returns ('\r\r\n').
CSVFormat_1827-1829:print1	Not Covered	Not Covered	Failure	
CSVFormat_1694-1718:hashCode	Failure	Failure	Failure	
CSVFormat_1537-1539:getDelimiter	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1497-1499:getAllowDuplicateHeaderNames	Success	Success	Success	
CSVFormat_1439-1466:equals	Success	Success	Success	
CSVFormat_1143-1145:clone	Error	Success	Success	
CSVFormat_1961-1967:printRecord	Failure	Success	Success	Graal False Negative - `java.lang.ClassCastException` raised though the translation is functionally equivalent
CSVFormat_1939-1946:println	Error	Success	Success	
CSVFormat_1928-1930:printer	Not Covered	Success	Success	
CSVFormat_1842-1863:print2	Error	Failure	Failure	
CSVFormat_1811-1813:print0	Success	Success	Success	
CSVFormat_1798-1800:parse	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1785-1787:isQuoteCharacterSet	Failure	Failure	Failure	
CSVFormat_1776-1778:isNullStringSet	Failure	Failure	Failure	
CSVFormat_1767-1769:isEscapeCharacterSet	Failure	Failure	Failure	
CSVFormat_1727-1729:isCommentMarkerSet	Failure	Failure	Failure	
CSVFormat_1689-1691:getTrim	Success	Success	Success	
CSVFormat_1679-1681:getTrailingDelimiter	Success	Success	Success	
CSVFormat_1669-1671:getSkipHeaderRecord	Success	Success	Success	
CSVFormat_1660-1662:getRecordSeparator	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1651-1653:getQuoteMode	Success	Success	Success	
CSVFormat_1642-1644:getQuoteCharacter	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1633-1635:getNullString	Success	Success	Success	
CSVFormat_1616-1618:getIgnoreSurroundingSpaces	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1606-1608:getIgnoreHeaderCase	Success	Success	Success	
CSVFormat_1595-1597:getIgnoreEmptyLines	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1585-1587:getHeaderComments	Success	Success	Success	
CSVFormat_1576-1578:getHeader	Success	Success	Success	
CSVFormat_1566-1568:getEscapeCharacter	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1557-1559:getDuplicateHeaderMode	Success	Success	Success	
CSVFormat_1547-1549:getDelimiterString	Success	Success	Success	
CSVFormat_1526-1528:getCommentMarker	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVFormat_1517-1519:getAutoFlush	Not Covered	Success	Success	
CSVFormat_1507-1509:getAllowMissingColumnNames	Success	Success	Success	
CSVFormat_1474-1487:format	Failure	Success	Success	Graal False Negative - `java.lang.UnsupportedOperationException` raised though the translation is functionally equivalent
CSVFormat_1425-1427:builder	Success	Success	Success	
CSVFormat_1317-1383:CSVFormat	Error	Failure	Failure	
CSVFormat_1274-1276:valueOf	Failure	Failure	Failure	
CSVFormat_1250-1265:trim0	Failure	Failure	Failure	
CSVFormat_1241-1248:toStringArray	Success	Success	Success	
CSVFormat_1217-1239:newFormat	Failure	Success	Success	Graal False Negative - `org.opentest4j.AssertionFailedError` raised though the translation is functionally equivalent
CSVFormat_1168-1170:isBlank	Not Covered	Not Covered	Success	
CSVFormat_2281-2342:validate	Success	Failure	Failure	Graal False Positive - several branch translations are not correct - covered by Evosuite tests
CSVFormat_2179-2215:printWithQuotes1	Error	Failure	Failure	
CSVFormat_2076-2170:printWithQuotes0	Error	Failure	Failure	
CSVFormat_2017-2071:printWithEscapes1	Error	Failure	Failure	
CSVFormat_1972-2015:printWithEscapes0	Error	Failure	Failure	
CSVFormat_1903-1917:print5	Failure	Failure	Failure	
CSVFormat_1865-1885:print3	Error	Failure	Failure	
CSVFormat_1741-1760:isDelimiter	Success	Success	Success	
CSVFormat_1416-1418:append1	Error	Success	Success	
CSVFormat_1412-1414:append0	Error	Failure	Failure	
CSVFormat_1198-1200:isTrimChar1	Failure	Failure	Failure	
CSVFormat_1193-1195:isTrimChar0	Success	Success	Success	
CSVFormat_1188-1190:isLineBreak1	Success	Success	Success	
CSVFormat_1178-1180:isLineBreak0	Success	Success	Success	
CSVFormat_1164-1166:containsLineBreak	Success	Success	Success	
CSVFormat_1154-1156:contains	Success	Success	Success	
CSVFormat_2266-2268:trim1	Success	Success	Success	
CSVFormat_1434-1436:copy	Failure	Failure	Failure	
Predefined_761-763:getFormat	Error	Failure	Failure	
Predefined_752-754:Predefined	Error	Not Covered	Success	
CSVParser_689-691:iterator	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVParser_413-417:close	Success	Success	Success	
CSVParser_313-320:parse5	Error	Failure	Failure	
CSVParser_256-261:parse2	Error	Failure	Failure	
CSVParser_235-241:parse1	Error	Failure	Failure	
CSVParser_399-405:addRecordValue	Failure	Success	Success	Graal False Negative - `AttributeError` raised though the translation is functionally equivalent
CSVParser_763-766:stream	Failure	Not Covered	Success	Graal False Negative - `TypeError` raised though the translation is functionally equivalent
CSVParser_658-660:isClosed	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVParser_649-651:hasTrailerComment	Not Covered	Failure	Failure	
CSVParser_637-639:hasHeaderComment	Not Covered	Failure	Failure	
CSVParser_607-609:getTrailerComment	Not Covered	Success	Success	
CSVParser_596-598:getRecords	Error	Not Covered	Success	
CSVParser_583-585:getRecordNumber	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVParser_571-573:getHeaderNames	Not Covered	Failure	Failure	
CSVParser_542-549:getHeaderMap	Success	Success	Success	
CSVParser_528-530:getHeaderComment	Not Covered	Success	Success	
CSVParser_518-520:getFirstEndOfLine	Success	Success	Success	
CSVParser_508-510:getCurrentLineNumber	Failure	Failure	Failure	
CSVParser_377-380:CSVParser1	Error	Success	Success	
CSVParser_360-375:CSVParser	Error	Failure	Failure	
CSVParser_291-296:parse4	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVParser_277-279:parse3	Error	Success	Success	
CSVParser_213-217:parse0	Error	Failure	Failure	
CSVParser_669-672:isStrictQuoteMode	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVParser_617-625:handleNull	Failure	Success	Success	Graal False Negative - `java.lang.NullPointerException` raised though the translation is functionally equivalent
CSVParser_431-498:createHeaders	Failure	Failure	Failure	
CSVParser_419-423:createEmptyHeaderMap	Not Covered	Not Covered	Failure	
CSVParser_700-752:nextRecord	Error	Failure	Failure	
CSVParser_556-558:getHeaderMapRaw	Not Covered	Success	Success	
CSVRecordIterator_182-184:remove	Error	Success	Success	
CSVRecordIterator_164-179:next	Error	Failure	Failure	
CSVRecordIterator_152-161:hasNext	Error	Failure	Failure	
CSVRecordIterator_142-149:getNextRecord	Error	Failure	Failure	
Headers_196-199:Headers	Not Covered	Success	Success	
ExtendedBufferedReader_212-231:readLine	Success	Success	Success	
ExtendedBufferedReader_60-64:close	Failure	Success	Success	Graal False Negative - `java.lang.ClassCastException` raised though the translation is functionally equivalent
ExtendedBufferedReader_170-198:read1	Error	Failure	Failure	
ExtendedBufferedReader_155-168:read0	Failure	Success	Success	Graal False Negative - `java.lang.ClassCastException` raised though the translation is functionally equivalent
ExtendedBufferedReader_104-106:isClosed	Success	Success	Success	
ExtendedBufferedReader_150-153:lookAhead2	Error	Failure	Failure	
ExtendedBufferedReader_132-139:lookAhead1	Error	Failure	Failure	
ExtendedBufferedReader_115-121:lookAhead0	Error	Failure	Failure	
ExtendedBufferedReader_100-102:getPosition	Success	Success	Success	
ExtendedBufferedReader_90-92:getLastChar	Success	Success	Success	
ExtendedBufferedReader_71-79:getCurrentLineNumber	Failure	Failure	Failure	
ExtendedBufferedReader_50-52:ExtendedBufferedReader	Error	Failure	Failure	
Token_73-75:toString	Not Covered	Success	Success	
Token_60-65:reset	Error	Success	Success	
